epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,430.798,0.76609,0.61459,1.14362,0.89617,0.85404,0.89043,0.6334,1.07133,0.67868,1.23825,0.00056525,0.00056525,0.00056525
85,435.818,0.77692,0.6305,1.13825,0.86882,0.85333,0.88653,0.62719,1.05154,0.67794,1.22001,0.000557,0.000557,0.000557
86,440.872,0.7534,0.59165,1.12176,0.88589,0.86021,0.89742,0.62908,1.06591,0.65838,1.2196,0.00054875,0.00054875,0.00054875
87,445.883,0.78128,0.61579,1.14421,0.88553,0.85567,0.89105,0.62925,1.05803,0.66491,1.21631,0.0005405,0.0005405,0.0005405
88,450.962,0.77603,0.5967,1.14316,0.87627,0.86374,0.90538,0.6338,1.05545,0.66475,1.23998,0.00053225,0.00053225,0.00053225
89,455.992,0.7567,0.58751,1.13099,0.84182,0.84273,0.87382,0.61199,1.11026,0.71239,1.27781,0.000524,0.000524,0.000524
90,461.443,0.76402,0.58419,1.11819,0.91101,0.8483,0.8963,0.63557,1.04474,0.69053,1.22033,0.00051575,0.00051575,0.00051575
91,466.596,0.75872,0.57908,1.12452,0.90046,0.8508,0.88845,0.63487,1.05906,0.66483,1.22165,0.0005075,0.0005075,0.0005075
92,471.73,0.75162,0.58053,1.1198,0.88992,0.84172,0.88456,0.6433,1.04322,0.6748,1.19936,0.00049925,0.00049925,0.00049925
93,476.817,0.75359,0.57848,1.12229,0.89378,0.84007,0.88897,0.63823,1.03219,0.66295,1.19988,0.000491,0.000491,0.000491
94,481.876,0.74249,0.57565,1.12367,0.89179,0.86041,0.89885,0.64508,1.02554,0.64561,1.19136,0.00048275,0.00048275,0.00048275
95,487.001,0.73959,0.57648,1.12408,0.8946,0.86758,0.89811,0.64332,1.0474,0.66113,1.22146,0.0004745,0.0004745,0.0004745
96,492.14,0.73737,0.56707,1.10864,0.86224,0.8758,0.89485,0.639,1.04961,0.6575,1.20302,0.00046625,0.00046625,0.00046625
97,497.187,0.74023,0.56329,1.11755,0.85579,0.86897,0.88735,0.62662,1.06813,0.67046,1.2882,0.000458,0.000458,0.000458
98,502.247,0.74707,0.56806,1.11756,0.86649,0.86097,0.89523,0.63235,1.05108,0.67116,1.24407,0.00044975,0.00044975,0.00044975
99,507.252,0.7543,0.57602,1.1244,0.89446,0.83296,0.88754,0.64264,1.02354,0.65681,1.19397,0.0004415,0.0004415,0.0004415
100,512.295,0.72511,0.55357,1.10566,0.87587,0.84765,0.89172,0.64779,1.01761,0.65243,1.1965,0.00043325,0.00043325,0.00043325
101,517.356,0.75905,0.58147,1.13477,0.87774,0.87515,0.90502,0.64959,1.03151,0.62627,1.21423,0.000425,0.000425,0.000425
102,522.382,0.73869,0.55884,1.1061,0.92022,0.84793,0.9111,0.65861,1.0068,0.60926,1.18674,0.00041675,0.00041675,0.00041675
103,527.435,0.72307,0.55683,1.11326,0.89962,0.82864,0.89168,0.63289,1.07083,0.67317,1.24249,0.0004085,0.0004085,0.0004085
104,532.518,0.72439,0.55958,1.10013,0.87639,0.82767,0.88144,0.62829,1.03214,0.65067,1.21038,0.00040025,0.00040025,0.00040025
105,537.549,0.70318,0.54973,1.10474,0.87802,0.85569,0.9016,0.64654,1.02533,0.63227,1.20914,0.000392,0.000392,0.000392
106,542.637,0.7225,0.54143,1.10399,0.91346,0.85098,0.90187,0.64204,1.03855,0.63679,1.20381,0.00038375,0.00038375,0.00038375
107,547.647,0.7278,0.54958,1.10264,0.9024,0.85655,0.90454,0.64758,1.03606,0.61947,1.22044,0.0003755,0.0003755,0.0003755
108,552.809,0.70518,0.54084,1.09565,0.887,0.8638,0.90519,0.64692,1.02813,0.63789,1.21689,0.00036725,0.00036725,0.00036725
109,557.883,0.72831,0.55047,1.1184,0.91785,0.83294,0.89282,0.64759,1.01387,0.63842,1.20006,0.000359,0.000359,0.000359
110,562.956,0.70969,0.52865,1.11488,0.86667,0.85066,0.88318,0.63799,1.00945,0.65883,1.18728,0.00035075,0.00035075,0.00035075
111,567.995,0.71458,0.53987,1.1039,0.90905,0.85357,0.89896,0.64656,1.00866,0.62825,1.19517,0.0003425,0.0003425,0.0003425
112,573.112,0.7174,0.5281,1.10004,0.90942,0.86016,0.90588,0.65215,1.02029,0.62632,1.19657,0.00033425,0.00033425,0.00033425
113,578.122,0.70833,0.5345,1.09769,0.87886,0.87835,0.90372,0.6491,1.02311,0.64002,1.19347,0.000326,0.000326,0.000326
114,583.182,0.70912,0.53307,1.10313,0.89713,0.87676,0.90375,0.64706,1.02192,0.6612,1.17864,0.00031775,0.00031775,0.00031775
115,588.163,0.69408,0.5246,1.09522,0.89826,0.87186,0.90476,0.6427,1.02958,0.6472,1.18488,0.0003095,0.0003095,0.0003095
116,593.309,0.6944,0.51916,1.09098,0.92511,0.86054,0.91356,0.64768,1.05295,0.63365,1.22828,0.00030125,0.00030125,0.00030125
117,598.623,0.69079,0.5328,1.09751,0.90602,0.86374,0.9087,0.65943,1.01929,0.62704,1.19493,0.000293,0.000293,0.000293
118,603.686,0.70064,0.51271,1.09974,0.88786,0.877,0.9096,0.65756,1.0089,0.60974,1.19651,0.00028475,0.00028475,0.00028475
119,608.73,0.70854,0.54114,1.11025,0.90061,0.88779,0.91579,0.6546,1.01744,0.61991,1.2059,0.0002765,0.0002765,0.0002765
120,613.837,0.68906,0.52901,1.08217,0.93565,0.86399,0.91164,0.65777,1.01916,0.63499,1.20697,0.00026825,0.00026825,0.00026825
121,618.943,0.6769,0.52077,1.07971,0.91468,0.87552,0.90887,0.65362,1.00399,0.62333,1.1979,0.00026,0.00026,0.00026
122,623.976,0.69167,0.50727,1.08949,0.9089,0.86056,0.91409,0.65037,1.02143,0.62135,1.20762,0.00025175,0.00025175,0.00025175
123,629.018,0.69712,0.5236,1.08734,0.8956,0.87073,0.90894,0.64929,1.01519,0.62316,1.20365,0.0002435,0.0002435,0.0002435
124,634.041,0.70102,0.52847,1.08711,0.92613,0.86413,0.91887,0.66169,0.99804,0.60505,1.19583,0.00023525,0.00023525,0.00023525
125,639.123,0.68604,0.51017,1.08039,0.93252,0.85032,0.91166,0.65559,1.00117,0.61255,1.19404,0.000227,0.000227,0.000227
126,644.203,0.65598,0.48978,1.06611,0.90021,0.87183,0.91664,0.65725,0.99813,0.60667,1.19255,0.00021875,0.00021875,0.00021875
127,649.221,0.67886,0.50752,1.08185,0.9091,0.86999,0.91047,0.65795,1.01786,0.6086,1.2068,0.0002105,0.0002105,0.0002105
128,654.309,0.68214,0.50985,1.07869,0.86413,0.89867,0.91279,0.65292,1.02774,0.61154,1.20737,0.00020225,0.00020225,0.00020225
129,659.365,0.67229,0.50785,1.0869,0.88636,0.86733,0.90619,0.65064,1.03132,0.60727,1.20549,0.000194,0.000194,0.000194
130,664.38,0.6846,0.50185,1.08643,0.88431,0.86584,0.90373,0.65116,1.01176,0.62113,1.19861,0.00018575,0.00018575,0.00018575
131,669.504,0.67456,0.4911,1.07675,0.89212,0.8523,0.90392,0.65247,1.02312,0.61794,1.20363,0.0001775,0.0001775,0.0001775
132,674.548,0.66313,0.4973,1.07744,0.92175,0.85152,0.90629,0.6565,0.99834,0.60726,1.19388,0.00016925,0.00016925,0.00016925
133,679.577,0.66926,0.49792,1.07608,0.92648,0.86504,0.91367,0.66124,0.99287,0.60716,1.19038,0.000161,0.000161,0.000161
134,684.606,0.66123,0.48743,1.074,0.93446,0.87297,0.91794,0.66189,0.99942,0.59296,1.19316,0.00015275,0.00015275,0.00015275
